pitching_box_score_id,season,player_id,team_id,game_id,opponent_id,app,gs,ip,ha,r,er,bb,so,sho,bf,p_oab,x2b_a,x3b_a,hr_a,cso,wp,bk,hb,kl,ibb,cg,inh_run,inh_run_score,sha,sfa,cia,pitches,go,fo,w,l,sv,ord_appeared,player_id,first_name,last_name
1008,2023,19852,1395,2366483,416,1,1,3,4,4,4,3,3,0,17,13,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,2,4,0,0,0,1,19852,Kennedy,Ferguson
4139,2023,19852,1395,2367153,199,1,1,7,10,2,1,2,4,0,32,29,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,111,7,9,1,0,0,1,19852,Kennedy,Ferguson
5206,2023,19852,1395,2388417,553,1,1,7,3,0,0,0,6,1,23,22,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,5,8,1,0,0,1,19852,Kennedy,Ferguson
7799,2023,19852,1395,2367975,5,1,1,6.1,10,3,3,2,1,0,30,27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,10,0,0,0,1,19852,Kennedy,Ferguson
12336,2023,19852,1395,2368663,94,1,1,5,5,4,4,3,1,0,22,18,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,5,8,0,1,0,1,19852,Kennedy,Ferguson
13996,2023,19852,1395,2368922,2707,1,0,1.1,1,0,0,0,2,0,5,5,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,1,0,0,2,19852,Kennedy,Ferguson
13997,2023,19852,1395,2369201,704,1,0,4.1,4,1,1,1,1,0,18,16,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,58,5,7,0,0,0,2,19852,Kennedy,Ferguson
17676,2023,19852,1395,2369713,346,1,0,2.2,2,1,1,0,2,0,10,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,2,19852,Kennedy,Ferguson
18605,2023,19852,1395,2370015,649,1,0,3.2,8,7,7,3,0,0,23,19,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,9,0,0,0,2,19852,Kennedy,Ferguson
20306,2023,19852,1395,2370569,521,1,1,3.1,10,10,10,2,0,0,22,18,3,2,1,0,1,0,0,0,0,0,0,0,0,2,0,79,1,9,0,1,0,1,19852,Kennedy,Ferguson
28035,2023,19852,1395,2372574,288,1,1,0.2,3,2,2,1,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,19852,Kennedy,Ferguson
