pitching_box_score_id,season,player_id,team_id,game_id,opponent_id,app,gs,ip,ha,r,er,bb,so,sho,bf,p_oab,x2b_a,x3b_a,hr_a,cso,wp,bk,hb,kl,ibb,cg,inh_run,inh_run_score,sha,sfa,cia,pitches,go,fo,w,l,sv,ord_appeared,player_id,first_name,last_name
52511,2023,10925,366,2378361,433,1,0,3,1,1,1,1,1,0,11,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,47,3,5,0,0,0,4,10925,Emma,HUTCHINSON
53453,2023,10925,366,2378591,706,1,1,3,2,0,0,1,4,0,11,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,45,3,1,0,0,0,1,10925,Emma,HUTCHINSON
55996,2023,10925,366,2379288,706,1,0,5,5,0,0,0,2,0,20,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,68,4,9,1,0,0,2,10925,Emma,HUTCHINSON
59001,2023,10925,366,2379854,704,1,1,2.2,6,4,4,0,0,0,14,12,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,46,2,6,0,0,0,1,10925,Emma,HUTCHINSON
63248,2023,10925,366,2380674,261,1,1,3,1,0,0,1,4,0,10,8,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,41,2,2,0,0,0,1,10925,Emma,HUTCHINSON
63249,2023,21429,366,2380674,261,1,0,4,2,0,0,0,6,0,15,14,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,60,6,0,1,0,0,2,21429,Lauren,MENZINA
65394,2023,10925,366,2381396,458,1,0,1,2,3,3,1,1,0,7,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,37,0,2,0,0,0,2,10925,Emma,HUTCHINSON
65395,2023,21429,366,2381396,458,1,0,1,3,3,3,1,1,0,7,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25,0,1,0,0,0,3,21429,Lauren,MENZINA
68833,2023,10925,366,2381656,671,1,0,0.2,2,1,1,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,19,1,1,0,0,0,3,10925,Emma,HUTCHINSON
70225,2023,10925,366,2381989,772,1,0,3,3,2,2,2,1,0,14,11,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,48,0,8,0,0,0,3,10925,Emma,HUTCHINSON
70226,2023,21429,366,2381989,772,1,0,0.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,4,21429,Lauren,MENZINA
70227,2023,21429,366,2433773,772,1,1,3,3,2,0,0,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,4,0,0,0,1,21429,Lauren,MENZINA
2139,2023,6119,366,2366892,654,1,1,5,3,0,0,3,4,0,21,17,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,86,6,4,1,0,0,1,6119,Brook,Melnychuk
5154,2023,6119,366,2367205,655,1,0,0.2,2,2,2,0,0,0,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,15,1,1,0,1,0,3,6119,Brook,Melnychuk
5802,2023,6119,366,2367512,709,1,1,4,7,2,0,2,2,0,19,17,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,4,0,0,0,1,6119,Brook,Melnychuk
10963,2023,6119,366,2368311,365,1,0,1.1,2,0,0,0,1,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,2,0,0,0,2,6119,Brook,Melnychuk
19795,2023,6119,366,2370393,287,1,1,5,3,0,0,1,2,1,18,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,71,5,7,1,0,0,1,6119,Brook,Melnychuk
21952,2023,6119,366,2370867,368,1,0,4,3,0,0,0,2,0,14,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,6,3,1,0,0,2,6119,Brook,Melnychuk
26441,2023,6119,366,2372279,497,1,1,3.1,4,2,0,1,2,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,4,0,0,0,1,6119,Brook,Melnychuk
27796,2023,6119,366,2372608,497,1,0,2,3,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,4,6119,Brook,Melnychuk
29773,2023,6119,366,2373036,508,1,0,3,1,0,0,0,1,0,10,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,5,3,1,0,0,2,6119,Brook,Melnychuk
