pitching_box_score_id,season,player_id,team_id,game_id,opponent_id,app,gs,ip,ha,r,er,bb,so,sho,bf,p_oab,x2b_a,x3b_a,hr_a,cso,wp,bk,hb,kl,ibb,cg,inh_run,inh_run_score,sha,sfa,cia,pitches,go,fo,w,l,sv,ord_appeared,player_id,first_name,last_name
109156,2023,269,568,2386360,11403,1,0,1,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,269,Abby,Covington
112155,2023,269,568,2385827,8577,1,0,3.1,5,3,3,1,1,0,15,14,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,1,0,0,2,269,Abby,Covington
112988,2023,269,568,2384231,8577,1,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,269,Abby,Covington
112991,2023,18328,568,2384231,8577,1,0,4.2,3,0,0,3,4,0,19,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,5,1,0,0,2,18328,Katherine,Raper
118263,2023,269,568,2378856,11416,1,0,1.1,2,1,1,1,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,1,0,2,269,Abby,Covington
118264,2023,269,568,2382663,11416,1,0,1.2,4,1,1,1,3,0,9,8,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,40,0,1,0,0,0,2,269,Abby,Covington
118267,2023,18328,568,2382663,11416,1,0,0.2,0,0,0,2,1,0,4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,1,0,0,0,0,3,18328,Katherine,Raper
119427,2023,269,568,2383263,11416,1,0,2,0,0,0,2,2,0,8,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,32,3,1,0,0,1,2,269,Abby,Covington
124491,2023,269,568,2385597,413,1,0,0.2,2,1,1,2,0,0,5,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,269,Abby,Covington
124493,2023,18328,568,2385597,413,1,0,2,3,4,0,1,2,0,11,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,3,18328,Katherine,Raper
127270,2023,269,568,2387075,929,1,0,3.1,3,1,1,2,3,0,15,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,4,0,0,0,3,269,Abby,Covington
127272,2023,18328,568,2387075,929,1,0,2.1,2,3,0,1,3,0,12,11,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,48,2,1,0,0,0,2,18328,Katherine,Raper
128103,2023,269,568,2386617,929,1,0,1,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,269,Abby,Covington
130999,2023,269,568,2433195,1012,1,0,1.1,1,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,2,0,0,0,2,269,Abby,Covington
131000,2023,269,568,2433178,413,1,0,4,4,1,0,0,3,0,18,16,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,3,6,0,0,0,2,269,Abby,Covington
131423,2023,269,568,2433194,155,1,0,2,3,1,0,1,1,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,2,0,0,1,3,269,Abby,Covington
131424,2023,269,568,2433192,11416,1,0,0.1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,8,0,1,0,0,0,4,269,Abby,Covington
131427,2023,18328,568,2433192,11416,1,0,2.1,2,0,0,1,1,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,4,2,0,0,0,2,18328,Katherine,Raper
77612,2023,13196,568,2388609,1346,1,0,1,0,2,1,2,0,0,6,2,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,24,0,3,0,0,0,2,13196,Hallie,Crappell
78266,2023,1473,568,2387784,1334,1,0,2,3,0,0,1,2,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4,0,0,0,2,1473,Alexis,Kemp
80779,2023,13196,568,2388259,2720,1,0,0.1,2,1,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,13196,Hallie,Crappell
80781,2023,1473,568,2388259,2720,1,0,2,1,0,0,2,1,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,1,0,0,4,1473,Alexis,Kemp
81905,2023,1473,568,2388038,2720,1,1,5,1,0,0,2,5,1,19,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,4,1,0,0,1,1473,Alexis,Kemp
85595,2023,1473,568,2388047,1012,1,1,7,6,0,0,2,5,1,29,25,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,9,6,1,0,0,1,1473,Alexis,Kemp
86602,2023,13196,568,2368847,1012,1,0,1.1,1,1,1,1,0,0,6,4,0,1,0,0,1,0,0,0,0,0,3,3,1,0,0,0,3,1,0,0,0,2,13196,Hallie,Crappell
86603,2023,1473,568,2388168,1012,1,1,3.2,8,7,7,3,2,0,23,19,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,1,0,1,0,1,1473,Alexis,Kemp
88580,2023,1473,568,2387885,155,1,1,4,6,3,3,2,4,0,19,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67,6,1,1,0,0,1,1473,Alexis,Kemp
89765,2023,13196,568,2388063,155,1,0,0.1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,1,0,0,0,4,13196,Hallie,Crappell
89768,2023,1473,568,2388063,155,1,1,1.2,5,4,4,2,0,0,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,2,0,0,0,1,1473,Alexis,Kemp
93514,2023,1473,568,2387422,9754,1,1,2.2,2,4,4,3,3,0,13,10,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,58,4,1,0,0,0,1,1473,Alexis,Kemp
