pitching_box_score_id,season,player_id,team_id,game_id,opponent_id,app,gs,ip,ha,r,er,bb,so,sho,bf,p_oab,x2b_a,x3b_a,hr_a,cso,wp,bk,hb,kl,ibb,cg,inh_run,inh_run_score,sha,sfa,cia,pitches,go,fo,w,l,sv,ord_appeared,player_id,first_name,last_name
104,2023,9796,529,2366193,392,1,0,5.1,5,2,2,1,2,0,19,16,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,70,8,3,0,0,0,2,9796,Elise,Sokolsky
754,2023,9796,529,2366351,521,1,0,3,3,0,0,0,1,0,12,11,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,39,0,8,0,0,0,3,9796,Elise,Sokolsky
755,2023,9796,529,2366394,796,1,0,1.1,1,1,1,2,2,0,7,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,36,0,1,0,0,0,2,9796,Elise,Sokolsky
3992,2023,9796,529,2367046,493,1,0,1,2,2,1,0,1,0,5,5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,22,0,2,0,0,0,2,9796,Elise,Sokolsky
7506,2023,9796,529,2367932,370,1,0,2,1,0,0,1,1,0,8,7,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,27,1,4,1,0,0,3,9796,Elise,Sokolsky
9282,2023,9796,529,2368167,111,1,1,2.1,5,5,5,0,4,0,12,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,43,1,2,0,0,0,1,9796,Elise,Sokolsky
18397,2023,1986,529,2369906,90,1,0,2,2,1,0,0,2,0,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,3,0,0,0,0,2,1986,Allison,Benning
26616,2023,1986,529,2371906,756,1,0,0.2,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1986,Allison,Benning
37591,2023,1986,529,2375316,110,1,0,2,3,2,2,2,4,0,12,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,55,2,0,0,0,0,2,1986,Allison,Benning
64099,2023,1986,529,2380812,534,1,0,1.1,0,2,0,2,0,0,8,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,3,1,0,0,0,2,1986,Allison,Benning
753,2023,27214,529,2366394,796,1,1,2.2,4,1,1,0,2,0,12,12,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,46,0,6,0,0,0,1,27214,Morgan,Scott
2317,2023,27214,529,2366704,433,1,1,6,6,3,3,1,5,0,23,22,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,83,5,6,1,0,0,1,27214,Morgan,Scott
5947,2023,27214,529,2367456,111,1,1,4,4,1,1,0,3,0,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,4,5,1,0,0,1,27214,Morgan,Scott
7504,2023,27214,529,2367932,370,1,1,1.1,5,1,1,0,1,0,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,1,0,0,0,1,27214,Morgan,Scott
7505,2023,27214,529,2367971,626,1,0,0.2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,1,0,0,0,1,3,27214,Morgan,Scott
12110,2023,27214,529,2368611,97,1,1,5.1,7,3,0,1,6,0,23,21,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,87,2,6,0,1,0,1,27214,Morgan,Scott
13691,2023,27214,529,2368888,434,1,0,0.2,0,0,0,1,1,0,3,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,10,0,1,0,0,1,3,27214,Morgan,Scott
18400,2023,27214,529,2369905,428,1,1,3,4,4,4,1,1,0,14,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,3,5,0,1,0,1,27214,Morgan,Scott
20002,2023,27214,529,2370591,370,1,1,5,3,0,0,0,8,1,17,17,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,77,4,2,1,0,0,1,27214,Morgan,Scott
25268,2023,27214,529,2371556,756,1,0,1,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,3,27214,Morgan,Scott
26619,2023,27214,529,2371906,756,1,1,2.2,8,7,7,0,0,0,16,16,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,27214,Morgan,Scott
31239,2023,27214,529,2373702,674,1,0,3,2,2,2,1,4,0,12,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,48,1,3,0,1,0,2,27214,Morgan,Scott
