,,,Batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fielding,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP,FB,FBS,FBS%,FBSW%,FBSM%,CH,CHS,CHS%,CHSW%,CHSM%,RB,RBS,RBS%,RBSW%,RBSM%,DB,DBS,DBS%,DBSW%,DBSM%,SC,SCS,SCS%,SCSW%,SCSM%,CB,CBS,CBS%,CBSW%,CBSM%,DC,DCS,DCS%,DCSW%,DCSM%,KB,KBS,KBS%,KBSW%,KBSM%,KC,KCS,KCS%,KCSW%,KCSM%,OS,OSS,OSS%,OSSW%,OSSM%,TC,A,PO,FPCT,E,DP,TP,INN,PB,SB,SBATT,CS,CS%,PIK,CI
21,Wilson,McKenzie,12,33,28,0.25,0.364,0.721,0.357,7,6,0,0,1,5,5,4,7,3,1,0,0,0,1,3,100,0,0,16,48.48,8.2,0.571,75,7,14.29,23.81,61.9,0.3,0.4,13,1,1,10,132,4,7,21.21,7,21.21,28,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,15,0,15,1,0,0,0,0,0,0,0,0,-,0,0
1,Lassiter,Jalia,12,29,28,0.25,0.276,0.633,0.357,7,5,1,1,0,2,6,0,4,2,1,0,0,0,1,2,100,0,0,12,41.38,-,0,85.71,11,29.17,12.5,45.83,0.292,0.4,13,1,2,10,79,2.724,1,3.45,2,6.9,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,13,0,13,1,0,0,0,0,0,0,0,0,-,0,0
28,Hedgecock,Rylin,11,28,23,0.217,0.357,0.661,0.304,5,3,2,0,0,7,4,2,5,2,3,0,0,1,0,0,0,1,0,11,39.29,14,0.4,78.26,4,11.11,27.78,61.11,0.278,0.286,13,0,2,7,110,3.929,6,21.43,5,17.86,-,3,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0
44,Edwards,Tallen,11,31,29,0.241,0.29,0.635,0.345,7,4,3,0,0,7,6,2,0,0,0,0,0,1,4,4,100,0,0,11,35.48,15.5,-,100,6,20.69,24.14,48.28,0.241,0.333,16,4,3,10,100,3.226,3,9.68,2,6.45,-,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,14,2,12,1,0,0,0,0,0,0,0,0,-,0,0
7,Coppersmith,Courtney,2,2,2,0.5,0.5,1,0.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,-,-,100,0,0,50,50,0.5,0.5,3,0,0,1,5,2.5,0,0,0,0,-,0,0,0,10.1,6,2,42,161,1,0,0,0,0,-,6,3,3,5,11,3,0,2.032,1.065,11,0,0,0,2,100,0,0.171,15.6,3.833,35.71,6,4,2,3,3.012,60.87,61.9,73.08,0,19.23,0.484,5,1,1,1,13.04,0.262,2.2,69.23,30.77,1.125,1,11.54,30.77,47.62,0.217,0.167,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,3,2,1,1,0,0,0,0,0,0,0,0,-,0,0
4,Mullins,Jessica,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,-,0,-,-,-,-,-,0,0,0,0,0,-,0,-,0,-,-,0,0,0,6,3,3,23,79,0,0,0,0,0,-,1,1,0,3,7,2,0,0,0.667,4,0,0,1,2,66.67,1,0.05,13.2,3.435,52.17,5,4,3,3,1.785,69.62,65.22,93.33,0,6.67,0.5,3,1,1,1,12.66,0.304,2.333,84.62,15.38,0.8,0,15.38,30.77,50,0.077,0,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0
8,Lopez,Mariah,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,-,0,-,-,-,-,-,0,0,0,0,0,-,0,-,0,-,-,0,0,0,13.1,6,5,49,201,0,0,0,0,0,-,3,2,2,5,17,5,0,1.05,0.6,5,0,0,0,1,100,0,0.071,15.1,4.102,34.69,11,11,7,6,1.122,64.18,61.22,80,6.67,6.67,0.375,10,0,2,0,17.91,0.347,3.4,78.57,21.43,0.833,0,17.86,28.57,48,0.115,0,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,2,2,0,1,0,0,0,0,0,0,0,0,-,0,0
11,Deal,Kierston,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,-,0,-,-,-,-,-,0,0,0,0,0,-,0,-,0,-,-,0,0,0,16,8,1,59,219,0,0,0,0,0,-,8,5,5,2,16,7,1,2.188,0.625,11,0,0,0,0,-,1,0.143,13.7,3.712,47.46,9,9,8,6,1.137,66.67,57.63,91.18,2.94,5.88,0.125,13,0,1,0,14.61,0.271,8,80,20,0.45,0,17.5,42.5,35.14,0.2,0.133,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,2,2,0,1,0,0,0,0,0,0,0,0,-,0,0
19,Curd,Cassidy,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,-,0,-,-,-,-,-,0,0,0,0,0,-,0,-,0,-,-,0,0,0,14.1,7,0,52,220,0,0,0,0,0,-,9,0,0,2,11,4,1,0,0.767,8,0,0,2,0,0,0,0.184,15.3,4.231,36.54,11,9,5,4,1.815,66.82,59.62,80.65,3.23,12.9,0.14,11,0,0,0,8.18,0.212,5.5,71.05,28.95,0.75,0,15.79,31.58,50,0.237,0.143,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,1,0,1,1,0,0,0,0,0,0,0,0,-,0,0
23,Pickens,Karlyn,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,-,0,-,-,-,-,-,0,0,0,0,0,-,0,-,0,-,-,0,0,0,15,7,2,67,283,0,0,0,0,0,-,12,9,7,9,20,4,3,3.267,1.4,10,0,0,0,2,100,3,0.218,18.9,4.224,32.84,11,5,4,5,1.624,55.83,46.27,74.19,6.45,12.9,0.6,10,4,3,2,12.37,0.299,2.222,85.71,14.29,2.5,0,14.29,25.71,60,0.343,0.294,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,3,2,1,1,0,0,0,0,0,0,0,0,-,0,0
100,RUNNER,GHOST,1,0,0,-,-,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,-,0,-,-,-,-,-,0,0,0,0,0,-,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0
Totals,,,13,385,324,0.346,0.444,0.947,0.503,112,81,19,4,8,67,76,46,49,18,12,2,1,9,11,18,58.06,13,0,195,50.65,8.4,0.939,84.88,105,25.18,31.65,39.21,0.388,0.367,75,25,31,163,1427,3.706,52,13.51,61,15.84,40.5,6,0,0,78.1,13,13,320,1256,1,0,0,0,0,-,49,29,20,30,84,25,6,1.787,1.009,57,0,0,3,8,72.73,5,0.175,16,3.925,40.31,55,43,29,27,1.961,63.06,56.88,78.57,3.85,13.19,0.383,55,7,8,4,12.5,0.263,2.8,76.62,23.38,0.847,2,16.42,31.84,47.85,0.241,0.239,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,291,47,235,0.969,9,3,0,78.1,2,8,11,3,27.27,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,GP = Games played,PA = Plate appearances,AB = At bats,AVG = Batting average,OBP = On-base percentage,OPS = On-base percentage plus slugging percentage,SLG = Slugging percentage,H = Hits,1B = Single,2B = Doubles,3B = Triples,HR = Home runs,RBI = Runs batted in,R = Runs scored,BB = Base on balls (walks),SO = Strikeouts,K-L = Strikeouts Looking,HBP = Hit by pitch,SAC = Sacrifice hits & bunts,SF = Sacrifice flies,ROE = Reached on error,FC = Hit into fielder's choice,SB = Stolen bases,SB% = Stolen base percentage,CS = Caught stealing,PIK = Picked off,"QAB = Quality at bats (any one of: 3 pitches after 2 strikes, 6+ pitch ABs, XBH, HHB, BB, SAC Bunt, SAC Fly)",QAB% = Quality at bats per plate appearance,PA/BB = Plate appearances per walk,BB/K = Walks per strikeout,C% = Contact Percentage/Contact Rate: AB-K/AB,HHB = Hard hit balls: Total line drives and hard ground balls,LD% = Line drive percentage,FB% = Fly ball percentage,GB% = Ground ball percentage,BABIP = Batting average on balls in play,BA/RISP = Batting average with runners in scoring position,LOB = Runners left on base,2OUTRBI = 2-out RBI,XBH = Extra-base hits,TB = Total bases,PS = Pitches seen,PS/PA = Pitches seen per plate appearance,2S+3 = Plate appearances in which batter sees 3+ pitches after 2 strikes,2S+3% = % of plate appearances in which batter sees 3+ pitches after 2 strikes,6+ = Plate appearances with 6+ pitches,6+% = % of plate appearances of 6+ pitches,AB/HR = At bats per home run,GIDP = Hit into double play,GITP = Hit into triple play,CI = Batter advances on catcher's interference,IP = Innings Pitched,GP = Games pitched,GS = Games Started,BF = Total batters faced,#P = Total pitches,W = Wins,L = Losses,SV = Saves,SVO = Save opportunities,BS = Blown saves,SV% = Save percentage,H = Hits allowed,R = Runs allowed,ER = Earned runs allowed,BB = Base on balls (walks),SO = Strikeouts,K-L = Strikeouts Looking,HBP = Hit batters,ERA = Earned run average,WHIP = Walks plus hits per innings pitched,LOB = Runners left on base,BK = Balks,PIK = Runners picked off,CS = Runners caught stealing,SB = Stolen bases allowed,SB% = Stolen bases allowed percentage,WP = Wild pitches,BAA = Opponent batting average,P/IP = Pitches per inning,P/BF = Pitches per batter faced,<3% = % of batters on or out in three pitches or less,LOO = Leadoff out (1st batter of inning),1ST2OUT = Innings with 1st 2 batters out,123INN =  1-2-3 Innings,<13 = Innings of 13 pitches or fewer,FIP = Fielding Independent Pitching,S% = Strike percentage,FPS% = First pitch strike percentage,FPSO% = % of FPS at-bats that result in an out,FPSW% = % of FPS at-bats that result in a walk,FPSH% = % of FPS at-bats that result in a hit,BB/INN = Walks per inning,0BBINN = Zero-walk innings,BBS = Walks that score,LOBB = Leadoff walk (1st batter of inning),LOBBS = Leadoff walk that scored (1st batter of inning),SM% = % of total pitches that are swings and misses,K/BF = Strikeouts per batter faced,K/BB = Strikeouts per walk,WEAK% = % of batted balls weakly hit (fly balls and ground balls),HHB% = % of batted balls that are line drives or hard ground balls,GO/AO = Ratio of ground outs to air outs,HR = Home runs allowed,LD% = Line drive percentage,FB% = Fly ball percentage,GB% = % of all batted balls hit on the ground,BABIP = Opponent batting average on balls in play,BA/RISP = Opponent batting average with runners in scoring position,FB = Number of pitches thrown as Fastballs,FBS = Number of Fastballs thrown for strikes,FBS% = Percentage of Fastballs thrown for strikes,FBSW% = Percentage of Fastballs swung at,FBSM% = Percentage of Fastballs swung at and missed,CH = Number of pitches thrown as Changeups,CHS = Number of Changeups thrown for strikes,CHS% = Percentage of Changeups thrown for strikes,CHSW% = Percentage of Changeups swung at,CHSM% = Percentage of Changeups swung at and missed,RB = Number of pitches thrown as Riseballs,RBS = Number of Riseballs thrown for strikes,RBS% = Percentage of Riseballs thrown for strikes,RBSW% = Percentage of Riseballs swung at,RBSM% = Percentage of Riseballs swung at and missed,DB = Number of pitches thrown as Dropballs,DBS = Number of Dropballs thrown for strikes,DBS% = Percentage of Dropballs thrown for strikes,DBSW% = Percentage of Dropballs swung at,DBSM% = Percentage of Dropballs swung at and missed,SC = Number of pitches thrown as Screwballs,SCS = Number of Screwballs thrown for strikes,SCS% = Percentage of Screwballs thrown for strikes,SCSW% = Percentage of Screwballs swung at,SCSM% = Percentage of Screwballs swung at and missed,CB = Number of pitches thrown as Curveballs,CBS = Number of Curveballs thrown for strikes,CBS% = Percentage of Curveballs thrown for strikes,CBSW% = Percentage of Curveballs swung at,CBSM% = Percentage of Curveballs swung at and missed,DC = Number of pitches thrown as Drop Curves,DCS = Number of Drop Curves thrown for strikes,DCS% = Percentage of Drop Curves thrown for strikes,DCSW% = Percentage of Drop Curves swung at,DCSM% = Percentage of Drop Curves swung at and missed,KB = Number of pitches thrown as Knuckleballs,KBS = Number of Knuckleballs thrown for strikes,KBS% = Percentage of Knuckleballs thrown for strikes,KBSW% = Percentage of Knuckleballs swung at,KBSM% = Percentage of Knuckleballs swung at and missed,KC = Number of pitches thrown as Knuckle Curves,KCS = Number of Knuckle Curves thrown for strikes,KCS% = Percentage of Knuckle Curves thrown for strikes,KCSW% = Percentage of Knuckle Curves swung at,KCSM% = Percentage of Knuckle Curves swung at and missed,OS = Number of pitches thrown as Offspeeds,OSS = Number of Offspeeds thrown for strikes,OSS% = Percentage of Offspeeds thrown for strikes,OSSW% = Percentage of Offspeeds swung at,OSSM% = Percentage of Offspeeds swung at and missed,TC = Total Chances ,A = Assists,PO = Putouts,FPCT = Fielding Percentage,E = Errors,DP = Double Plays,TP = Triple Plays,INN = Innings played as catcher,PB = Passed balls allowed,SB = Stolen bases allowed,SBATT = Stolen bases attempts,CS = Runners caught stealing,CS% = Runners caught stealing percentage,PIK = Runners picked off,CI = Batter advances on catcher's interference
